feature,coefficient
JavelineerTroll Rocklobber,0.011181317057778879
JavelineerWhite Mage,0.1027113936670776
LieutenantLieutenant,-0.21853931393676432
LieutenantLongbowman,-0.09949451082820356
LieutenantMonawish,0.6544916967699194
LieutenantMudafi,0.6544751707261922
LieutenantNecrophage,-0.4788370039886947
LieutenantOrcish Crossbowman,-0.04371671271341477
LieutenantOrcish Slayer,-0.0996304758034345
LieutenantOrcish Warrior,0.07818305180743756
LieutenantPikeman,0.16089480636605755
LieutenantRed Mage,-0.007846349107174673
LieutenantRevenant,0.018808696401651344
LieutenantRogue,0.15717278448900018
LieutenantSwordsman,0.05600483544873588
LieutenantTrapper,0.07884337884722305
LieutenantTroll,0.019336626395118073
LieutenantTroll Rocklobber,0.061318935595106205
LieutenantWhite Mage,0.07634037279622796
LongbowmanLongbowman,0.7270529491004701
LongbowmanNecrophage,-0.21197978649889365
LongbowmanOrcish Crossbowman,-0.07903429911121121
LongbowmanOrcish Slayer,0.07870685336059996
LongbowmanOrcish Warrior,-2.7809282024806236e-5
